index,plane_label,ifc_type,ifc_global_id,ifc_name
243451,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243452,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243453,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243454,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243455,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243456,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243457,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243458,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243459,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243460,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243461,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243462,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243463,plane_04,IfcWall,3S3VgMDFLDiPHeIJPk5HTj,Basic Wall:Basic wall ex:1200689
243468,plane_06,IfcWall,3$Sc93izfEuuDAiaR0$6h3,Basic Wall:Basic wall:1200264
243469,plane_05,IfcWall,3S3VgMDFLDiPHeIJPk5HIn,Basic Wall:Basic wall:1200621
243470,plane_05,IfcWall,3S3VgMDFLDiPHeIJPk5HIn,Basic Wall:Basic wall:1200621
243471,plane_05,IfcWall,3S3VgMDFLDiPHeIJPk5HIn,Basic Wall:Basic wall:1200621
243472,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
243473,plane_05,IfcWall,3S3VgMDFLDiPHeIJPk5HIn,Basic Wall:Basic wall:1200621
243474,plane_05,IfcWall,3S3VgMDFLDiPHeIJPk5HIn,Basic Wall:Basic wall:1200621
243475,plane_00,IfcWall,20rBv4HojAY8M3avWLHAgu,Basic Wall:Basic wall ex:1201621
